video_code,author,source_URL,license,length_s,language_free,anxiety,compassion,contempt,despair,disgust,fascination,fear,guilt,indifference,irritation,joy,no_emotion,pride,rage,sadness,satisfaction,shame,surprise,entropy,modal_emotion,valence,arousal,valence_wsd,arousal_wsd
VID_809,Animal Equality,https://www.youtube.com/watch?v=pQK4261GXyg,CC-BY 3.0,13,TRUE,0,0,104,42,354,0,0,0,0,0,0,21,0,229,188,0,42,21,0.56,disgust,-1579,1423,211,0.45
VID_810,Animal Equality,https://www.youtube.com/watch?v=pQK4261GXyg,CC-BY 3.0,35,TRUE,18,18,91,0,436,0,0,18,0,0,0,0,0,145,255,0,0,18,605,disgust,-1628,1526,114,293
VID_811,producertony2001,https://www.youtube.com/watch?v=2pWij13kNJo,CC-BY 3.0,57,FALSE,161,125,36,0,71,36,0,0,54,54,0,0,0,268,107,0,18,71,0.37,rage,-1008,819,389,513
VID_812,Sanjay Seth,https://www.youtube.com/watch?v=SGSrGmHsT8s,CC-BY 3.0,63,FALSE,238,16,16,0,143,48,16,0,0,159,0,0,0,238,32,0,16,79,427,anxiety,-1083,1119,356,488
VID_813,Greenpeace NZ Video,https://www.youtube.com/watch?v=aNUBRv52IBk,CC-BY 3.0,12,TRUE,0.08,0,0.04,0.02,0.24,0,0.02,0,0,0,0,0.02,0,0.24,0.32,0,0,0.02,538,sadness,-1392,1.12,267,452
VID_814,Joseph Kamiya,https://www.youtube.com/watch?v=GQQzYae8oZ8,CC-BY 3.0,48,FALSE,468,0,32,32,65,65,97,0,16,0,0,16,0,48,81,0,0,81,437,anxiety,-982,944,407,431
VID_815,Bert Schneider,https://www.youtube.com/watch?v=rIlkEL1JK5s,CC-BY 3.0,53,FALSE,33,33,115,0,148,66,0,0,66,197,33,0,16,115,66,33,33,49,233,irritation,-777,675,423,0.43
VID_816,RBS PRODUCTION,https://www.youtube.com/watch?v=eiGu_rLWmt0,CC-BY 3.0,70,TRUE,148,0,19,19,426,0,37,0,37,19,0,0,0,204,93,0,0,0,0.54,disgust,-1626,1587,167,434
VID_817,UNICEF South Africa,https://www.youtube.com/watch?v=ZrsbOC8wcVA,CC-BY 3.0,13,TRUE,273,45,0,0,23,0,159,0,23,0,0,23,0,136,227,0,0,91,492,anxiety,-1137,874,447,517
VID_818,Ursula Wharton,https://www.youtube.com/watch?v=nOaupUo3r8A,CC-BY 3.0,46,FALSE,0,291,18,18,55,0,0,0,55,18,0,0,0,0,545,0,0,0,683,sadness,-917,264,312,341
VID_819,NosTeraFuTV,https://www.youtube.com/watch?v=4P8o16XYPos,CC-BY 3.0,41,TRUE,0,0,0,0,33,82,33,0,66,33,393,0,0,33,0,0,33,295,0.53,joy,505,118,0.49,445
VID_820,Myles Cook,https://www.youtube.com/watch?v=7G3PZs7NzCo,CC-BY 3.0,41,TRUE,111,56,93,19,74,0,19,0,0.13,0,0,19,0,241,185,0,0,56,382,rage,-1128,781,0.4,545
VID_821,U.S. Navy,https://www.youtube.com/watch?v=SP2sOCbxVWc,CC-BY 3.0,60,FALSE,97,161,0,0,129,16,16,0,16,16,0,0,0,113,435,0,0,0,544,sadness,-1205,0.83,361,384
