Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_F_040,Closing an umbrella,1,F,4.590163934426229,1.5639378630061558,2.452830188679245,2.052822051337069,4.612903225806452,1.333602123444588,4.566666666666666,1.794307729985316,2.1538461538461537,1.3767296813044365,2.740740740740741,2.535783790112917
1_M_040,Closing an umbrella,1,M,5.230769230769231,1.5031389981176533,1.9672131147540983,1.2242986170968,5.269230769230769,1.73338264229667,5.1923076923076925,1.2655190482716812,2.064516129032258,1.388896057329171,1.8666666666666667,1.0416609195243758
3_F_040,Closing an umbrella,3,F,5.637931034482759,1.1501071782560544,2.392857142857143,1.8749891774579432,5.625,1.157026221578126,5.653846153846154,1.1642098674142107,2.5714285714285716,2.0625150312102587,2.2142857142857144,1.685606668612177
3_M_040,Closing an umbrella,3,M,5.125,1.6042811314473373,2.0793650793650795,1.7067379497402233,5.142857142857143,1.7968225924034424,5.105263157894737,1.4100723717480785,2.09375,1.766340759145685,2.064516129032258,1.6720343670903368
1_F_041,Putting the cap on a marker,1,F,5.134615384615385,1.7604460904571129,1.8032786885245902,1.4002341724529215,5.269230769230769,1.801281595035986,5,1.7435595774162693,1.7419354838709677,1.3896700312300487,1.8666666666666667,1.4319827906241327
1_M_041,Putting the cap on a marker,1,M,5.482758620689655,1.314445774879976,2.3214285714285716,1.7899430448749212,5.375,1.1845783243211963,5.615384615384615,1.4717859376124802,2.6785714285714284,2.037674263005842,1.9642857142857142,1.4525110532413719
3_F_041,Putting the cap on a marker,3,F,4.575,1.7524707832525612,1.6825396825396826,1.0445773466226984,4.666666666666667,1.7416467303484178,4.473684210526316,1.8064212949190017,1.875,1.128801819801464,1.4838709677419355,0.9263177187817536
3_M_041,Putting the cap on a marker,3,M,5.295081967213115,1.4182649293541973,1.471698113207547,1.3812448897908345,5.354838709677419,1.450250256490794,5.233333333333333,1.4064710873459967,1.6153846153846154,1.7222525500500345,1.3333333333333333,0.9607689228305228
1_F_042,Folding a chair,1,F,5.360655737704918,1.4145999067492059,1.9433962264150944,1.7143634649587836,5.451612903225806,1.456907905518152,5.266666666666667,1.3879613761229797,2,1.5491933384829668,1.8888888888888888,1.8878830906871762
1_M_042,Folding a chair,1,M,5,1.3135791548583706,1.639344262295082,1.3295711951007099,5.269230769230769,1.4299004806682827,4.730769230769231,1.1509193649493372,1.7419354838709677,1.6117845582972905,1.5333333333333334,0.9732042112432566
3_F_042,Folding a chair,3,F,5.5,1.1277986631315908,2.232142857142857,1.9352338024460687,5.59375,1.042929342239073,5.384615384615385,1.235375993839061,2.5,2.301368353023109,1.9642857142857142,1.4777897123279866
3_M_042,Folding a chair,3,M,4.75,1.4978617237881953,1.5873015873015872,1.3635215393323445,4.523809523809524,1.3273676061682242,5,1.6666666666666667,1.53125,1.1067060978854206,1.6451612903225807,1.603088417124358
1_F_043,Finger counting,1,F,4.862068965517241,0.9990921468850267,1.875,1.5847282531600289,4.8125,0.895778630487862,4.923076923076923,1.1286479317511517,2.0714285714285716,1.6085091194337655,1.6785714285714286,1.5647404572045482
1_M_043,Finger counting,1,M,4.75,1.7209121016305458,2.0634920634920637,1.5644541032146095,4.857142857142857,1.4242792663559445,4.631578947368421,2.033347713495311,1.90625,1.4670438786673983,2.225806451612903,1.6675266598439504
3_F_043,Finger counting,3,F,4.622950819672131,1.4850806311020008,1.9245283018867925,1.5670778367072211,4.419354838709677,1.565762722517625,4.833333333333333,1.3916830131877738,1.7307692307692308,1.4576060457528928,2.111111111111111,1.671787006431081
3_M_043,Finger counting,3,M,4.25,1.326576014244426,2.081967213114754,1.846574142993931,4.115384615384615,1.5053749852292104,4.384615384615385,1.134087230398899,2.2580645161290325,2.0811493929314455,1.9,1.5833182092441613
1_F_044,Drawing a triangle,1,F,5.311475409836065,1.4780728850607847,2.339622641509434,2.0186000120648653,5.290322580645161,1.4420713895203379,5.333333333333333,1.538770967998169,2.3076923076923075,2.1310885625751133,2.3703703703703702,1.9443833934249646
